id,Star_name,Distance,Mass,Radius,Luminosity
0,54 Piscium,36.1,53,0.798691378056286,5.88
1,54 Piscium,36.1,53,0.798691378056286,5.88
2,54 Piscium,36.1,53,0.798691378056286,5.88
3,54 Piscium,36.1,53,0.798691378056286,5.88
4,54 Piscium,36.1,53,0.798691378056286,5.88
5,54 Piscium,36.1,53,0.798691378056286,5.88
6,54 Piscium,36.1,53,0.798691378056286,5.88
7,54 Piscium,36.1,53,0.798691378056286,5.88
8,54 Piscium,36.1,53,0.798691378056286,5.88
9,54 Piscium,36.1,53,0.798691378056286,5.88
10,54 Piscium,36.1,53,0.798691378056286,5.88
11,54 Piscium,36.1,53,0.798691378056286,5.88
12,54 Piscium,36.1,53,0.798691378056286,5.88
13,54 Piscium,36.1,53,0.798691378056286,5.88
14,81 Cancri,66,,,6.77
15,81 Cancri,66,,,6.77
16,81 Cancri,66,,,6.77
17,81 Cancri,66,,,6.77
18,81 Cancri,66,,,6.77
19,81 Cancri,66,,,6.77
20,81 Cancri,66,,,6.77
21,81 Cancri,66,,,6.77
22,81 Cancri,66,,,6.77
23,81 Cancri,66,,,6.77
24,81 Cancri,66,,,6.77
25,81 Cancri,66,,,6.77
26,81 Cancri,66,,,6.77
27,81 Cancri,66,,,6.77
28,AB Pictoris,66.6,13.5,,9.16
29,AB Pictoris,66.6,13.5,,9.16
30,AB Pictoris,66.6,13.5,,9.16
31,AB Pictoris,66.6,13.5,,9.16
32,AB Pictoris,66.6,13.5,,9.16
33,AB Pictoris,66.6,13.5,,9.16
34,AB Pictoris,66.6,13.5,,9.16
35,AB Pictoris,66.6,13.5,,9.16
36,AB Pictoris,66.6,13.5,,9.16
37,AB Pictoris,66.6,13.5,,9.16
38,AB Pictoris,66.6,13.5,,9.16
39,AB Pictoris,66.6,13.5,,9.16
40,AB Pictoris,66.6,13.5,,9.16
41,AB Pictoris,66.6,13.5,,9.16
42,CD−33°7795,163.08,20,,11.37
43,CD−33°7795,163.08,20,,11.37
44,CD−33°7795,163.08,20,,11.37
45,CD−33°7795,163.08,20,,11.37
46,CD−33°7795,163.08,20,,11.37
47,CD−33°7795,163.08,20,,11.37
48,CD−33°7795,163.08,20,,11.37
49,CD−33°7795,163.08,20,,11.37
50,CD−33°7795,163.08,20,,11.37
51,CD−33°7795,163.08,20,,11.37
52,CD−33°7795,163.08,20,,11.37
53,CD−33°7795,163.08,20,,11.37
54,CD−33°7795,163.08,20,,11.37
55,CD−33°7795,163.08,20,,11.37
56,CT Chamaeleontis,538,17,2.2,12.36
57,CT Chamaeleontis,538,17,2.2,12.36
58,CT Chamaeleontis,538,17,2.2,12.36
59,CT Chamaeleontis,538,17,2.2,12.36
60,CT Chamaeleontis,538,17,2.2,12.36
61,CT Chamaeleontis,538,17,2.2,12.36
62,CT Chamaeleontis,538,17,2.2,12.36
63,CT Chamaeleontis,538,17,2.2,12.36
64,CT Chamaeleontis,538,17,2.2,12.36
65,CT Chamaeleontis,538,17,2.2,12.36
66,CT Chamaeleontis,538,17,2.2,12.36
67,CT Chamaeleontis,538,17,2.2,12.36
68,CT Chamaeleontis,538,17,2.2,12.36
69,CT Chamaeleontis,538,17,2.2,12.36
70,Eta Coronae Borealis,58.3,63,,5.02
71,Eta Coronae Borealis,58.3,63,,5.02
72,Eta Coronae Borealis,58.3,63,,5.02
73,Eta Coronae Borealis,58.3,63,,5.02
74,Eta Coronae Borealis,58.3,63,,5.02
75,Eta Coronae Borealis,58.3,63,,5.02
76,Eta Coronae Borealis,58.3,63,,5.02
77,Eta Coronae Borealis,58.3,63,,5.02
78,Eta Coronae Borealis,58.3,63,,5.02
79,Eta Coronae Borealis,58.3,63,,5.02
80,Eta Coronae Borealis,58.3,63,,5.02
81,Eta Coronae Borealis,58.3,63,,5.02
82,Eta Coronae Borealis,58.3,63,,5.02
83,Eta Coronae Borealis,58.3,63,,5.02
84,G 196-3,50.2,25,,11.77
85,G 196-3,50.2,25,,11.77
86,G 196-3,50.2,25,,11.77
87,G 196-3,50.2,25,,11.77
88,G 196-3,50.2,25,,11.77
89,G 196-3,50.2,25,,11.77
90,G 196-3,50.2,25,,11.77
91,G 196-3,50.2,25,,11.77
92,G 196-3,50.2,25,,11.77
93,G 196-3,50.2,25,,11.77
94,G 196-3,50.2,25,,11.77
95,G 196-3,50.2,25,,11.77
96,G 196-3,50.2,25,,11.77
97,G 196-3,50.2,25,,11.77
98,GD 165,103,,,14.6
99,GD 165,103,,,14.6
100,GD 165,103,,,14.6
101,GD 165,103,,,14.6
102,GD 165,103,,,14.6
103,GD 165,103,,,14.6
104,GD 165,103,,,14.6
105,GD 165,103,,,14.6
106,GD 165,103,,,14.6
107,GD 165,103,,,14.6
108,GD 165,103,,,14.6
109,GD 165,103,,,14.6
110,GD 165,103,,,14.6
111,GD 165,103,,,14.6
112,Gliese 570,19.0,52,,5.64
113,Gliese 570,19.0,52,,5.64
114,Gliese 570,19.0,52,,5.64
115,Gliese 570,19.0,52,,5.64
116,Gliese 570,19.0,52,,5.64
117,Gliese 570,19.0,52,,5.64
118,Gliese 570,19.0,52,,5.64
119,Gliese 570,19.0,52,,5.64
120,Gliese 570,19.0,52,,5.64
121,Gliese 570,19.0,52,,5.64
122,Gliese 570,19.0,52,,5.64
123,Gliese 570,19.0,52,,5.64
124,Gliese 570,19.0,52,,5.64
125,Gliese 570,19.0,52,,5.64
126,GU Piscium,155.3,11,,13.1
127,GU Piscium,155.3,11,,13.1
128,GU Piscium,155.3,11,,13.1
129,GU Piscium,155.3,11,,13.1
130,GU Piscium,155.3,11,,13.1
131,GU Piscium,155.3,11,,13.1
132,GU Piscium,155.3,11,,13.1
